Constituent Name,Final Score 2022,Final Score 2021,Final Score 2020,Final Score 2019,Final Score 2018,Final Score 2017
LVMH MOET HENNESSY LOUIS VUITT,55.52102776776556,55.582335462430564,55.20513460436345,55.19346632518082,53.462364965484326,52.28099034643565
HERMES INTL ORD,66.3997272824423,64.2744107116376,64.21757931778606,63.00517303750988,60.553476562793044,66.31004850384991
KERING SA,55.33421498249501,55.399750601529085,55.17286635793349,55.87355350741085,55.54093617044965,53.29640892228315
STELLANTIS NV ORD,49.001515603276545,49.15786202575954,51.43220025326199,48.82107310990951,47.800269078893145,47.49303946631338
SAINT-GOBAIN ORD,48.65612165194237,49.512196547431714,49.45959146002118,52.00148997647009,49.218423893468426,48.51348615949462
MICHELIN ORD,49.255855674629515,50.21064627140345,50.645306352445104,50.44107716010697,50.17213129867793,49.9766092042307
PUBLICIS GROUPE ORD,51.43721435979009,50.81649330404844,51.09259732700839,51.23994854873653,50.57436738598207,50.032430742095976
VIVENDI ORD,36.180715652315286,47.57478199179843,53.38467778283485,48.182356783863156,51.43448580294305,47.914431244273345
RENAULT PAR,48.77280296233738,50.21916495616376,47.62479156097197,48.95792153511994,50.36066733575824,51.10573805700736
